Team,nickname,abbrev,conference,location,home_venue,season
UNC Wilmington,Seahawks,UNCW,CAA,"Wilmington, NC",Trask Coliseum,2006
UNLV,Runnin' Rebels,UNLV,MWC,"Las Vegas, NV",Thomas & Mack Center,2006
USC,Trojans,USC,Pac-12,"Los Angeles, CA",Galen Center,2006
Utah,Utes,U of U,MWC,"Salt Lake City, UT",Jon M. Huntsman Center,2006
Utah State,Aggies,USU,WAC,"Logan, UT",Dee Glen Smith Spectrum,2006
Utah Valley,Wolverines,UVU,INDEP,"Orem, UT",UCCU Center,2006
UTEP,Miners,UTEP,C-USA,"El Paso, TX",Don Haskins Center,2006
Valparaiso,Beacons,VAL,Summit,"Valparaiso, IN",Athletics-Recreation Center,2006
Vanderbilt,Commodores,VANDY,SEC,"Nashville, TN",Memorial Gymnasium (TN),2006
VCU,Rams,VCU,CAA,"Richmond, VA",Stuart C. Siegel Center,2006
Vermont,Catamounts,UVM,AM East,"Burlington, VT",Patrick Gymnasium,2006
Villanova,Wildcats,VILL,AAC,"Villanova, PA",Finneran Pavilion,2006
Virginia,Cavaliers,UVA,ACC,"Charlottesville, VA",John Paul Jones Arena,2006
Virginia Military,Keydets,VMI,Big South,"Lexington, VA",Cameron Hall,2006
Virginia Tech,Hokies,VT,ACC,"Blacksburg, VA",Cassell Coliseum,2006
Wagner,Seahawks,WAGNR,NEC,"Staten Island, NY",Spiro Sports Center,2006
Wake Forest,Demon Deacons,WF,ACC,"Winston-Salem, NC",Lawrence Joel Veterans Memorial Coliseum,2006
Washington,Huskies,UWASH,Pac-12,"Seattle, WA",Alaska Airlines Arena at Hec Edmundson Pavilion,2006
Washington State,Cougars,WSU,Pac-12,"Pullman, WA",Friel Court at Beasley Coliseum,2006
Weber State,Wildcats,WEBER,Big Sky,"Ogden, UT",Dee Events Center,2006
West Virginia,Mountaineers,WVU,AAC,"Morgantown, WV",WVU Coliseum,2006
Western Carolina,Catamounts,WCU,SoCon,"Cullowhee, NC",Ramsey Regional Activity Center,2006
Western Illinois,Leathernecks,WIU,Summit,"Macomb, IL",LeRoy A. Ufkes Court at Western Hall,2006
Western Kentucky,Hilltoppers,WKU,Sun Belt,"Bowling Green, KY",E. A. Diddle Arena,2006
Western Michigan,Broncos,WMY,MAC,"Kalamazoo, MI",University Arena (MI),2006
Wichita State,Shockers,WICHI,MVC,"Wichita, KS",Charles Koch Arena,2006
William & Mary,Tribe,W&M,CAA,"Williamsburg, VA",Kaplan Arena,2006
Winthrop,Eagles,WIN,Big South,"Rock Hill, SC",Winthrop Coliseum,2006
Wisconsin,Badgers,UWISC,Big Ten,"Madison, WI",Kohl Center,2006
Wofford,Terriers,WOFF,SoCon,"Spartanburg, SC",Jerry Richardson Indoor Stadium,2006
Wright State,Raiders,WRST,Horizon,"Dayton, OH",Nutter Center,2006
Wyoming,Cowboys,UWYOM,MWC,"Laramie, WY",Arena Auditorium,2006
Xavier,Musketeers,XAV,A-10,"Cincinnati, OH",Cintas Center,2006
Yale,Bulldogs,YALE,Ivy,"New Haven, CT",John J. Lee Amphitheater,2006
Youngstown State,Penguins,YSU,Horizon,"Youngstown, OH",Beeghly Center,2006
Air Force,Falcons,AF,MWC,"Colorado Springs, CO",Clune Arena,2005
Akron,Zips,AKR,MAC,"Akron, OH",James A. Rhodes Arena,2005
Alabama,Crimson Tide,UA,SEC,"Tuscaloosa, AL",Coleman Coliseum,2005
Alabama A&M,Bulldogs,AAMU,SWAC,"Huntsville, AL",Event Center,2005
Alabama State,Hornets,ALAST,SWAC,"Montgomery, AL",Dunn-Oliver Acadome,2005
Albany,Great Danes,ALBNY,AM East,"Albany, NY",Broadview Center,2005
Alcorn State,Braves,ALCST,SWAC,"Lorman, MS",Davey L. Whitney Complex,2005
American University,Eagles,AMERU,Patriot,"Washington, DC",Bender Arena,2005
Appalachian State,Mountaineers,APPST,SoCon,"Boone, NC",George M. Holmes Convocation Center,2005
Arizona,Wildcats,ARZ,Pac-12,"Tucson, AZ",McKale Center,2005
Arizona State,Sun Devils,ASU,Pac-12,"Tempe, AZ",Desert Financial Arena,2005
Arkansas,Razorbacks,ARK,SEC,"Fayetteville, AR",Bud Walton Arena,2005
Arkansas State,Red Wolves,ARKST,Sun Belt,"Jonesboro, AR",First National Bank Arena,2005
Arkansas-Pine Bluff,Golden Lions,UAPB,SWAC,"Pine Bluff, AR",H.O. Clemmons Arena,2005
Army West Point,Black Knights,USMA,Patriot,"West Point, NY",Christl Arena,2005
Auburn,Tigers,AUB,SEC,"Auburn, AL",Neville Arena,2005
Austin Peay,Governors,APSU,OVC,"Clarksville, TN",F&M Bank Arena,2005
Ball State,Cardinals,BLLST,MAC,"Muncie, IN",John E. Worthen Arena,2005
Baylor,Bears,BAYL,Big 12,"Waco, TX",Foster Pavilion,2005
Belmont,Bruins,BLMNT,A-Sun,"Nashville, TN",Curb Event Center Arena,2005
Bethune-Cookman,Wildcats,BTHCK,MEAC,"Daytona Beach, FL",Moore Gymnasium (FL),2005
Binghamton,Bearcats,BNGH,AM East,"Binghamton, NY",Events Center (Binghamton),2005
Birmingham-Southern,Panthers,BIRM,Big South,"Birmingham, AL",Bill Battle Coliseum,2005
Boise State,Broncos,BOISE,WAC,"Boise, ID",ExtraMile Arena,2005
Boston College,Eagles,BOS,AAC,"Chestnut Hill, MA",Silvio O. Conte Forum,2005
Boston University,Terriers,BSTN,AM East,"Boston, MA",Case Gym,2005
Bowling Green,Falcons,BGSU,MAC,"Bowling Green, OH",Stroh Center,2005
Bradley,Braves,BRDLY,MVC,"Peoria, IL",Carver Arena,2005
Brigham Young,Cougars,BYU,MWC,"Provo, UT",Marriott Center,2005
Brown,Bears,BRWN,Ivy,"Providence, RI",Pizzitola Sports Center,2005
Bucknell,Bison,BUCK,Patriot,"Lewisburg, PA",Sojka Pavilion,2005
Buffalo,Bulls,BUFF,MAC,"Buffalo, NY",Alumni Arena,2005
Butler,Bulldogs,BTLR,Horizon,"Indianapolis, IN",Hinkle Fieldhouse,2005
Cal Poly,Mustangs,POLY,Big West,"San Luis Obispo, CA",Robert A. Mott Athletics Center,2005
Cal State Fullerton,Titans,CSFUL,Big West,"Fullerton, CA",Titan Gym,2005
Cal State Northridge,Matadors,CSUN,Big West,"Northridge, CA",Premier America Credit Union Arena,2005
California,Golden Bears,Cal,Pac-12,"Berkeley, CA",Haas Pavilion,2005
Campbell,Fighting Camels,CAM,A-Sun,"Buies Creek, NC",John W. Pope Jr. Convocation Center,2005
Canisius,Golden Griffins,CAN,MAAC,"Buffalo, NY",Koessler Athletic Center,2005
Centenary,Gentlemen,CCL,Summit,"Shreveport, LA",Gold Dome,2005
Central Connecticut State,Blue Devils,CCSU,NEC,"New Britain, CT",William H. Detrick Gymnasium,2005
Central Michigan,Chippewas,CMU,MAC,"Mount Pleasant, MI",McGuirk Arena,2005
Charleston,Cougars,C of C,SoCon,"Charleston, SC",TD Arena,2005
Charleston Southern,Buccaneers,CHASO,Big South,"Charleston, SC",Buccaneer Fieldhouse,2005
Charlotte,49ers,CHAR,C-USA,"Charlotte, NC",Dale F. Halton Arena,2005
Chattanooga,Mocs,CHATT,SoCon,"Chattanooga, TN",McKenzie Arena,2005
Chicago State,Cougars,CHIST,Summit,"Chicago, IL",Emil and Patricia Jones Convocation Center,2005
Cincinnati,Bearcats,CINCY,C-USA,"Cincinnati, OH",Fifth Third Arena,2005
Clemson,Tigers,CLEM,ACC,"Clemson, SC",Littlejohn Coliseum,2005
Cleveland State,Vikings,CLEST,Horizon,"Cleveland, OH",Wolstein Center,2005
Coastal Carolina,Chanticleers,CCU,Big South,"Conway, SC",The HTC Center,2005
Colgate,Raiders,COLGT,Patriot,"Hamilton, NY",Cotterell Court,2005
Colorado,Buffaloes,COLO,Big 12,"Boulder, CO",CU Events Center,2005
Colorado State,Rams,COLST,MWC,"Fort Collins, CO",Moby Arena,2005
Columbia,Lions,COM,Ivy,"New York, NY",Francis S. Levien Gymnasium,2005
Coppin State,Eagles,COPST,MEAC,"Baltimore, MD",Physical Education Complex,2005
Cornell,Big Red,COR,Ivy,"Ithaca, NY",Newman Arena,2005
Creighton,Bluejays,CREI,MVC,"Omaha, NE",CHI Health Center Omaha,2005
Dartmouth,Big Green,DART,Ivy,"Hanover, NH",Edward Leede Arena,2005
Davidson,Wildcats,DAV,SoCon,"Davidson, NC",John M. Belk Arena,2005
Dayton,Flyers,DAY,A-10,"Dayton, OH",UD Arena,2005
Delaware,Fightin Blue Hens,DEL,CAA,"Newark, DE",Bob Carpenter Center,2005
Delaware State,Hornets,DESU,MEAC,"Dover, DE","Memorial Hall (Dover, DE)",2005
Denver,Pioneers,DEN,Sun Belt,"Denver, CO",Hamilton Gymnasium,2005
DePaul,Blue Demons,DEP,C-USA,"Chicago, IL",Wintrust Arena,2005
Detroit-Mercy,Titans,UDM,Horizon,"Detroit, MI",Calihan Hall,2005
Drake,Bulldogs,DRAKE,MVC,"Des Moines, IA",The Knapp Center,2005
Drexel,Dragons,DREX,CAA,"Philadelphia, PA",Daskalakis Athletic Center,2005
Duke,Blue Devils,DUKE,ACC,"Durham, NC",Cameron Indoor Stadium,2005
Duquesne,Dukes,DUQ,A-10,"Pittsburgh, PA",UPMC Cooper Fieldhouse,2005
East Carolina,Pirates,ECAR,C-USA,"Greenville, NC",Williams Arena at Minges Coliseum,2005
East Tennessee State,Buccaneers,ETSU,SoCon,"Johnson City, TN",Freedom Hall Civic Center,2005
Eastern Illinois,Panthers,EIU,OVC,"Charleston, IL",Lantz Arena,2005
Eastern Kentucky,Colonels,EKU,OVC,"Richmond, KY",Baptist Health Arena,2005
Eastern Michigan,Eagles,EMICH,MAC,"Ypsilanti, MI",George Gervin GameAbove Center,2005
Eastern Washington,Eagles,EWASH,Big Sky,"Cheney, WA",Reese Court,2005
Elon,Phoenix,ELON,SoCon,"Elon, NC",Schar Center,2005
Evansville,Purple Aces,UE,MVC,"Evansville, IN",Ford Center,2005
Fairfield,Stags,FAIR,MAAC,"Fairfield, CT",Leo D. Mahoney Arena,2005
Fairleigh Dickinson,Knights,FDU,NEC,"Hackensack, NJ",Bogota Savings Bank Center,2005
Florida,Gators,FLA,SEC,"Gainesville, FL",Exactech Arena at the Stephen C. O'Connell Center,2005
Florida A&M,Rattlers,FAMU,MEAC,"Tallahassee, FL",Al Lawson Center,2005
Florida Atlantic,Owls,FAU,A-Sun,"Boca Raton, FL",Eleanor R. Baldwin Arena,2005
Florida International,Golden Panthers,FIU,Sun Belt,"Miami, FL",Ocean Bank Convocation Center,2005
Florida State,Seminoles,FLAST,ACC,"Tallahassee, FL",Donald L. Tucker Center,2005
Fordham,Rams,FORD,A-10,"Bronx, NY",Rose Hill Gymnasium,2005
Fort Wayne,Mastodons,IPFW,INDEP,"Fort Wayne, IN",Allen County War Memorial Coliseum,2005
Fresno State,Bulldogs,FRSNO,WAC,"Fresno, CA",Save Mart Center,2005
Furman,Paladins,FRMN,SoCon,"Greenville, SC",Timmons Arena,2005
Gardner-Webb,Runnin' Bulldogs,GWU,A-Sun,"Boiling Springs, NC",Paul Porter Arena,2005
George Mason,Patriots,GMU,CAA,"Fairfax, VA",EagleBank Arena,2005
George Washington,Revolutionaries,GW,A-10,"Washington, DC",Charles E. Smith Center,2005
Georgetown,Hoyas,GTOWN,AAC,"Washington, DC",Capital One Arena,2005
Georgia,Bulldogs,UGA,SEC,"Athens, GA",Stegeman Coliseum,2005
Georgia Southern,Eagles,GASO,SoCon,"Statesboro, GA",W.S. Hanner Fieldhouse,2005
Georgia State,Panthers,GAST,A-Sun,"Atlanta, GA",GSU Convocation Center,2005
Georgia Tech,Yellow Jackets,GT,ACC,"Atlanta, GA",McCamish Pavilion,2005
Gonzaga,Bulldogs,ZAGS,WCC,"Spokane, WA",McCarthey Athletic Center,2005
Grambling State,Tigers,GRAMB,SWAC,"Grambling, LA",Fredrick C. Hobdy Assembly Center,2005
Green Bay,Phoenix,UWGB,Horizon,"Ashwaubenon, WI",Resch Center,2005
Hampton,Pirates,HMPTN,MEAC,"Hampton, VA",Convocation Center (VA),2005
Hartford,Hawks,UHA,AM East,"Hartford, CT",Chase Arena,2005
Harvard,Crimson,HAR,Ivy,"Cambridge, MA",Lavietes Pavilion,2005
Hawaii,Rainbow Warriors,HAW,WAC,"Honolulu, HI",Stan Sheriff Center,2005
High Point,Panthers,HP,Big South,"High Point, NC",Nido and Mariana Qubein Arena,2005
Hofstra,Pride,HOF,CAA,"Hempstead, NY",David S. Mack Sports and Exhibition Complex,2005
Holy Cross,Crusaders,HC,Patriot,"Worcester, MA",Hart Center,2005
Houston,Cougars,U of H,C-USA,"Houston, TX",Fertitta Center,2005
Howard,Bison,HWRD,MEAC,"Washington, DC",Burr Gymnasium,2005
Idaho,Vandals,IDAHO,Big West,"Moscow, ID",ICCU Arena,2005
Idaho State,Bengals,IDHST,Big Sky,"Pocatello, ID",Holt Arena,2005
Illinois,Fighting Illini,ILL,Big Ten,"Champaign, IL",State Farm Center,2005
Illinois State,Redbirds,ILLST,MVC,"Normal, IL",CEFCU Arena,2005
Illinois-Chicago,Flames,UIC,Horizon,"Chicago, IL",Credit Union 1 Arena,2005
Indiana,Hoosiers,IU,Big Ten,"Bloomington, IN",Simon Skjodt Assembly Hall,2005
Indiana State,Sycamores,INDST,MVC,"Terre Haute, IN",Hulman Center,2005
Iona,Gaels,IONA,MAAC,"New Rochelle, NY",Hynes Athletics Center,2005
Iowa,Hawkeyes,IOWA,Big Ten,"Iowa City, IA",Carver-Hawkeye Arena,2005
Iowa State,Cyclones,IWAST,Big 12,"Ames, IA",James H. Hilton Coliseum,2005
IUPUI,Jaguars,IUPUI,Summit,"Indianapolis, IN",Indiana Farmers Coliseum,2005
Jackson State,Tigers,JKSN,SWAC,"Jackson, MS",Lee E. Williams Athletic and Assembly Center,2005
Jacksonville,Dolphins,JAC,A-Sun,"Jacksonville, FL",Swisher Gymnasium,2005
Jacksonville State,Gamecocks,JKSNV,OVC,"Jacksonville, AL",Pete Mathews Coliseum,2005
James Madison,Dukes,JMU,CAA,"Harrisonburg, VA",Atlantic Union Bank Center,2005
Kansas,Jayhawks,KU,Big 12,"Lawrence, KS",Phog Allen Fieldhouse,2005
Kansas State,Wildcats,KSU,Big 12,"Manhattan, KS",Bramlage Coliseum,2005
Kent State,Golden Flashes,KENT,MAC,"Kent, OH",M.A.C. Center,2005
Kentucky,Wildcats,UK,SEC,"Lexington, KY",Rupp Arena,2005
La Salle,Explorers,LASAL,A-10,"Philadelphia, PA",Tom Gola Arena,2005
Lafayette,Leopards,LAFAY,Patriot,"Easton, PA",Kirby Sports Center,2005
Lamar,Cardinals,LAMAR,Southland,"Beaumont, TX",Montagne Center,2005
Lehigh,Mountain Hawks,LEHI,Patriot,"Bethlehem, PA",Stabler Arena,2005
Liberty,Flames,LBRTY,Big South,"Lynchburg, VA",Liberty Arena,2005
Lipscomb,Bisons,LIP,A-Sun,"Nashville, TN",Allen Arena,2005
Little Rock,Trojans,UALR,Sun Belt,"Little Rock, AR",Jack Stephens Center,2005
Long Beach State,Beach,LBSU,Big West,"Long Beach, CA",Walter Pyramid,2005
Long Island,Sharks,LIU,NEC,"Brooklyn, NY",Steinberg Wellness Center,2005
Longwood,Lancers,LONG,INDEP,"Farmville, VA",Joan Perry Brock Center,2005
Louisiana,Ragin' Cajuns,LA,Sun Belt,"Lafayette, LA",Cajundome,2005
Louisiana Tech,Bulldogs,LATCH,WAC,"Ruston, LA",Thomas Assembly Center,2005
Louisiana-Monroe,Warhawks,ULM,Southland,"Monroe, LA",Fant-Ewing Coliseum,2005
Louisville,Cardinals,LVILL,C-USA,"Louisville, KY",KFC Yum! Center,2005
Loyola (IL),Ramblers,L-IL,Horizon,"Chicago, IL",Joseph J. Gentile Arena,2005
Loyola (MD),Greyhounds,L-MD,MAAC,"Baltimore, MD",Reitz Arena,2005
Loyola Marymount,Lions,LOYMR,WCC,"Los Angeles, CA",Gersten Pavilion,2005
LSU,Tigers,LSU,SEC,"Baton Rouge, LA",Pete Maravich Assembly Center,2005
Maine,Black Bears,MAINE,AM East,"Bangor, ME",Cross Insurance Center,2005
Manhattan,Jaspers,MAN,MAAC,"Riverdale, NY",Draddy Gymnasium,2005
Marist,Red Foxes,MRST,MAAC,"Poughkeepsie, NY",McCann Arena,2005
Marquette,Golden Eagles,MARQ,C-USA,"Milwaukee, WI",Fiserv Forum,2005
Marshall,Thundering Herd,MARSH,MAC,"Huntington, WV",Cam Henderson Center,2005
Maryland,Terrapins,UMD,ACC,"College Park, MD",XFINITY Center,2005
Maryland-Eastern Shore,Hawks,UMES,MEAC,"Princess Anne, MD",Hytche Athletic Center,2005
Massachusetts,Minutemen,UMass,A-10,"Amherst, MA",William D. Mullins Memorial Center,2005
McNeese State,Cowboys,MCNST,Southland,"Lake Charles, LA",Legacy Center,2005
Memphis,Tigers,MEMP,C-USA,"Memphis, TN",FedExForum,2005
Mercer,Bears,MER,A-Sun,"Macon, GA",Hawkins Arena,2005
Miami (FL),Hurricanes,UMFL,ACC,"Coral Gables, FL",Watsco Center,2005
Miami (OH),RedHawks,MIAMI,MAC,"Oxford, OH",Millett Hall,2005
Michigan,Wolverines,MICH,Big Ten,"Ann Arbor, MI",Crisler Center,2005
Michigan State,Spartans,MCHST,Big Ten,"East Lansing, MI",Breslin Center,2005
Middle Tennessee State,Blue Raiders,MTSU,Sun Belt,"Murfreesboro, TN",Murphy Center,2005
Milwaukee,Panthers,UWM,Horizon,"Milwaukee, WI",UW-Milwaukee Panther Arena,2005
Minnesota,Golden Gophers,MINN,Big Ten,"Minneapolis, MN",Williams Arena,2005
Mississippi State,Bulldogs,MISST,SEC,"Starkville, MS",Humphrey Coliseum,2005
Mississippi Valley State,Delta Devils,MVSU,SWAC,"Itta Bena, MS",Robert W. Harrison HPER Complex,2005
Missouri,Tigers,MZZOU,Big 12,"Columbia, MO",Mizzou Arena,2005
Missouri State,Bears,MZZST,MVC,"Springfield, MO",Great Southern Bank Arena,2005
Monmouth,Hawks,MONM,NEC,"West Long Branch, NJ",OceanFirst Bank Center,2005
Montana,Grizzlies,MONT,Big Sky,"Missoula, MT",Dahlberg Arena,2005
Montana State,Fighting Bobcats,MTSTU,Big Sky,"Bozeman, MT",Worthington Arena,2005
Morehead State,Eagles,MRHD,OVC,"Morehead, KY",Ellis T. Johnson Arena,2005
Morgan State,Bears,MORST,MEAC,"Baltimore, MD",Talmadge L. Hill Field House,2005
Mount St. Mary's,Mountaineers,MSMU,NEC,"Emmitsburg, MD",Knott Arena,2005
Murray State,Racers,MRRY,OVC,"Murray, KY",CFSB Center,2005
Navy,Midshipmen,USNA,Patriot,"Annapolis, MD",Alumni Hall (Navy),2005
NC State,Wolfpack,NCST,ACC,"Raleigh, NC",PNC Arena,2005
Nebraska,Cornhuskers,UNL,Big 12,"Lincoln, NE",Pinnacle Bank Arena,2005
Nevada,Wolf Pack,UNR,WAC,"Reno, NV",Lawlor Events Center,2005
New Hampshire,Wildcats,NEWHA,AM East,"Durham, NH",Lundholm Gymnasium,2005
New Mexico,Lobos,UNM,MWC,"Albuquerque, NM",The Pit,2005
New Mexico State,Aggies,NMSU,Sun Belt,"Las Cruces, NM",Pan American Center,2005
New Orleans,Privateers,NEWOR,Sun Belt,"New Orleans, LA",Lakefront Arena,2005
Niagara,Purple Eagles,NIAG,MAAC,"Niagara Falls, NY",Gallagher Center,2005
Nicholls State,Colonels,NICH,Southland,"Thibodaux, LA",David R. Stopher Gymnasium,2005
Norfolk State,Spartans,NORF,MEAC,"Norfolk, VA",Joseph G. Echols Hall,2005
North Carolina,Tar Heels,UNC,ACC,"Chapel Hill, NC",Dean E. Smith Center,2005
North Carolina A&T,Aggies,NC A&T,MEAC,"Greensboro, NC",Corbett Sports Center,2005
North Texas,Mean Green,UNT,Sun Belt,"Denton, TX",The Super Pit,2005
Northeastern,Huskies,NEU,AM East,"Boston, MA",Matthews Arena,2005
Northern Arizona,Lumberjacks,NAU,Big Sky,"Flagstaff, AZ",J. Lawrence Walkup Skydome,2005
Northern Illinois,Huskies,NIU,MAC,"DeKalb, IL",NIU Convocation Center,2005
Northern Iowa,Panthers,UNI,MVC,"Cedar Falls, IA",McLeod Center,2005
Northwestern,Wildcats,NWU,Big Ten,"Evanston, IL",Welsh-Ryan Arena,2005
Northwestern State,Demons,NSU,Southland,"Natchitoches, LA",Prather Coliseum,2005
Notre Dame,Fighting Irish,ND,AAC,"South Bend, IN",Purcell Pavilion,2005
Oakland,Golden Grizzlies,OAKL,Summit,"Rochester, MI",OU Credit Union O'rena,2005
Ohio,Bobcats,OHIO,MAC,"Athens, OH",Convocation Center (OH),2005
Ohio State,Buckeyes,OSU,Big Ten,"Columbus, OH",Value City Arena,2005
Oklahoma,Sooners,OKLA,Big 12,"Norman, OK",Lloyd Noble Center,2005
Oklahoma State,Cowboys,OKST,Big 12,"Stillwater, OK",Gallagher-Iba Arena,2005
Old Dominion,Monarchs,ODU,CAA,"Norfolk, VA",Chartway Arena,2005
Ole Miss,Rebels,MISS,SEC,"Oxford, MS",The Sandy and John Black Pavilion at Ole Miss,2005
Oral Roberts,Golden Eagles,ORU,Summit,"Tulsa, OK",Mabee Center,2005
Oregon,Ducks,OREG,Pac-12,"Eugene, OR",Matthew Knight Arena,2005
Oregon State,Beavers,ORST,Pac-12,"Corvallis, OR",Gill Coliseum,2005
Pacific,Tigers,PACI,Big West,"Stockton, CA",Alex G. Spanos Center,2005
Penn State,Nittany Lions,PENST,Big Ten,"University Park, PA",Bryce Jordan Center,2005
Pennsylvania,Quakers,PENN,Ivy,"Philadelphia, PA",The Palestra,2005
Pepperdine,Waves,PEPP,WCC,"Malibu, CA",Firestone Fieldhouse,2005
Pittsburgh,Panthers,PITT,AAC,"Pittsburgh, PA",Petersen Events Center,2005
Portland,Pilots,UP,WCC,"Portland, OR",Chiles Center,2005
Portland State,Vikings,PORTL,Big Sky,"Portland, OR",Viking Pavilion,2005
Prairie View A&M,Panthers,PVAMU,SWAC,"Prairie View, TX",William Nicks Building,2005
Princeton,Tigers,PRIN,Ivy,"Princeton, NJ",Jadwin Gymnasium,2005
Providence,Friars,PROV,AAC,"Providence, RI",Amica Mutual Pavilion,2005
Purdue,Boilermakers,PURD,Big Ten,"West Lafayette, IN",Mackey Arena,2005
Quinnipiac,Bobcats,QUIN,NEC,"Hamden, CT",M&T Bank Arena,2005
Radford,Highlanders,RADF,Big South,"Radford, VA",Donald N. Dedmon Center,2005
Rhode Island,Rams,URI,A-10,"Kingston, RI",Ryan Center,2005
Rice,Owls,RICE,WAC,"Houston, TX",Tudor Fieldhouse,2005
Richmond,Spiders,RICH,A-10,"Richmond, VA",Robins Center,2005
Rider,Broncs,RIDER,MAAC,"Lawrenceville, NJ",Alumni Gymnasium (Rider),2005
Robert Morris,Colonials,RMU,NEC,"Moon Township, PA",UPMC Events Center,2005
Rutgers,Scarlet Knights,RUTG,AAC,"Piscataway, NJ",Jersey Mike's Arena,2005
Sacramento State,Hornets,CSUS,Big Sky,"Sacramento, CA",The Nest,2005
Sacred Heart,Pioneers,HEART,NEC,"Fairfield, CT",William H. Pitt Center,2005
Saint Joseph's,Hawks,STJOE,A-10,"Philadelphia, PA",Michael J. Hagan '85 Arena,2005
Saint Louis,Billikens,STLOU,C-USA,"St. Louis, MO",Chaifetz Arena,2005
Saint Mary's,Gaels,STMRY,WCC,"Moraga, CA",University Credit Union Pavilion,2005
Saint Peter's,Peacocks,STPC,MAAC,"Jersey City, NJ",Run Baby Run Arena,2005
Sam Houston State,Bearkats,SHSU,Southland,"Huntsville, TX",Bernard G. Johnson Coliseum,2005
Samford,Bulldogs,SAMF,OVC,"Homewood, AL",Pete Hanna Center,2005
San Diego,Toreros,SAND,WCC,"San Diego, CA",Jenny Craig Pavilion,2005
San Diego State,Aztecs,SDSU,MWC,"San Diego, CA",Viejas Arena,2005
San Francisco,Dons,SANFR,WCC,"San Francisco, CA",War Memorial at the Sobrato Center,2005
San Jose State,Spartans,SJSU,WAC,"San Jose, CA",Provident Credit Union Event Center,2005
Santa Clara,Broncos,SCU,WCC,"Santa Clara, CA",Leavey Center,2005
Savannah State,Tigers,SST,INDEP,"Savannah, GA",Tiger Arena,2005
Seton Hall,Pirates,SETON,AAC,"Newark, NJ",Prudential Center,2005
Siena,Saints,SIENA,MAAC,"Albany, NY",MVP Arena,2005
South Alabama,Jaguars,USA,Sun Belt,"Mobile, AL",Mitchell Center,2005
South Carolina,Gamecocks,SOCAR,SEC,"Columbia, SC",Colonial Life Arena,2005
South Carolina State,Bulldogs,SCSU,MEAC,"Orangeburg, SC",Smith-Hammond-Middleton Memorial Center,2005
South Florida,Bulls,USOFL,C-USA,"Tampa, FL",Yuengling Center,2005
Southeast Missouri State,Redhawks,SEMO,OVC,"Cape Girardeau, MO",Show Me Center,2005
Southeastern Louisiana,Lions,SELU,Southland,"Hammond, LA",University Center (LA),2005
Southern,Jaguars,SUBR,SWAC,"Baton Rouge, LA",F.G. Clark Activity Center,2005
Southern Illinois,Salukis,SOILL,MVC,"Carbondale, IL",Banterra Center,2005
Southern Methodist,Mustangs,SMU,WAC,"Dallas, TX",Moody Coliseum,2005
Southern Mississippi,Golden Eagles,SOMIS,C-USA,"Hattiesburg, MS",Reed Green Coliseum,2005
Southern Utah,Thunderbirds,SUU,Summit,"Cedar City, UT",America First Events Center,2005
St. Bonaventure,Bonnies,STBN,A-10,"Saint Bonaventure, NY",Reilly Center,2005
St. Francis (NY),Terriers,SFC,NEC,"Brooklyn, NY",Pope Physical Education Center,2005
St. Francis (PA),Red Flash,STFPA,NEC,"Loretto, PA",DeGol Arena,2005
St. John's,Red Storm,STJ,AAC,"Queens, NY",Carnesecca Arena,2005
Stanford,Cardinal,STAN,Pac-12,"Stanford, CA",Maples Pavilion,2005
Stephen F. Austin,Lumberjacks,SFA,Southland,"Nacogdoches, TX",William R. Johnson Coliseum,2005
Stetson,Hatters,STET,A-Sun,"DeLand, FL",Edmunds Center,2005
Stony Brook,Seawolves,SB,AM East,"Stony Brook, NY",Island FCU Arena,2005
Syracuse,Orange,SYRA,AAC,"Syracuse, NY",JMA Wireless Dome,2005
TCU,Horned Frogs,TCU,C-USA,"Fort Worth, TX",Ed and Rae Schollmaier Arena,2005
