Team,nickname,abbrev,conference,location,home_venue,season
TCU,Horned Frogs,TCU,Big 12,"Fort Worth, TX",Ed and Rae Schollmaier Arena,2024
Temple,Owls,TEM,AAC,"Philadelphia, PA",Liacouras Center,2024
Tennessee,Volunteers,TENN,SEC,"Knoxville, TN",Thompson-Boling Arena,2024
Tennessee State,Tigers,TNST,OVC,"Nashville, TN",Gentry Center,2024
Tennessee Tech,Golden Eagles,TNTCH,OVC,"Cookeville, TN",Hooper Eblen Center,2024
Tennessee-Martin,Skyhawks,UTM,OVC,"Martin, TN",Kathleen and Tom Elam Center,2024
Texas,Longhorns,TEXAS,Big 12,"Austin, TX",Moody Center,2024
Texas A&M,Aggies,TAMU,SEC,"College Station, TX",Reed Arena,2024
Texas A&M Commerce,Lions,TAMUC,Southland,"Commerce, TX",The Field House,2024
Texas A&M-CC,Islanders,TAMU-CC,Southland,"Corpus Christi, TX",American Bank Center,2024
Texas Southern,Tigers,TEXSO,SWAC,"Houston, TX",H&PE Arena,2024
Texas State,Bobcats,TXST,Sun Belt,"San Marcos, TX",Strahan Arena at the University Events Center,2024
Texas Tech,Red Raiders,TXTCH,Big 12,"Lubbock, TX",United Supermarkets Arena,2024
Texas-Arlington,Mavericks,UTA,WAC,"Arlington, TX",College Park Center,2024
Texas-RGV,Vaqueros,UTRGV,WAC,"Edinburg, TX",UTRGV Fieldhouse,2024
Texas-San Antonio,Roadrunners,UTSA,AAC,"San Antonio, TX",UTSA Convocation Center,2024
The Citadel,Bulldogs,CTDL,SoCon,"Charleston, SC",McAlister Field House,2024
Toledo,Rockets,U of T,MAC,"Toledo, OH",Savage Arena,2024
Towson,Tigers,TOWS,CAA,"Towson, MD",SECU Arena,2024
Troy,Trojans,TROY,Sun Belt,"Troy, AL",Trojan Arena,2024
